manner_of_introduction,1989,1999,1991,1992,1993,1994,1995,1996,1997,1997,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,total,percentage
  Personal Introduction,3025,5662,7560,7057,7593,6778,6273,6604,6849,5522,5446,5203,5883,6189,5691,5953,6374,6750.5,7705,5772,6919,6353,6368,6790,6285,6656,6575,169836,34.01%
  Place of Work,1759,3651,4534,5153,5452,4483,5389,5747,4678,3741,4395,4016,4424,4638,4535,4891,5704,5771.5,5677,4154,3826,3640,3337,3536,3801,3851,3749,118533,23.73%
  Penpal Referred by Relative,2239,3710,4794,5057,5106,4575,4812,4980,4292,4172,4333,4716,4646,4678,4421,4642,4661,5117,4535,3544,3749,3492,3493,3525,3413,3261,3043,113006,22.63%
  Penpal Thru Ads/Columns/Penpal Clubs,719,768,1042,1023,1106,929,900,1153,934,965,957,595,689,635,525,438,335,491,270,173,146,111,93,114,89,104,86,15390,3.08%
  Marriage Bureau *,77,65,73,50,96,83,75,92,89,88,188,47,31,40,34,23,24,7,33,20,37,38,50,58,44,44,25,1531,0.31%
  Thru Internet,0,0,0,0,0,0,0,0,3,0,0,427,920,1350,1672,2574,3049,2889,4679,4127,5157,5228,5845,6349,6939,7729,7497,66434,13.30%
  Thru Other Entities** ,0,0,0,0,0,0,0,0,0,0,0,164,214,329,326,226,181,254.5,336,267,281,247,370,414,412,440,348,4810,0.96%
Not Reported / No Response,-,-,-,-,-,-,-,-,-,-,-,,242,437,195,186,772,3623,692,379,495,667,678,623,338,291,279,9897,1.98%
Total,7819,13856,18003,18340,19353,16848,17449,18576,16845,14488,15319,15168,17049,18296,17399,18933,21100,24903.5,23927,18436,20610,19776,20234,21409,21321,22376,21602,499436,100%
